,gender,age,state,Household Size,Household Income,income
22195,Male,51.0,Sarawak,4 orang,5247.25,5247.25
22197,Male,30.0,Sarawak,5 orang,5247.5,5247.5
22199,Male,36.0,Sarawak,6 orang dan lebih,5248.3335,5248.3335
22211,Male,40.0,Sarawak,3 orang,5251.3335,3411.8333
22215,Female,37.0,Sarawak,3 orang,5252.0835,3091.75
22216,Male,47.0,Sarawak,5 orang,5252.4165,5252.4165
22217,Male,39.0,Sarawak,5 orang,5252.6665,3672.6667
22223,Male,44.0,Sarawak,5 orang,5253.3335,5253.3335
22225,Male,38.0,Sarawak,4 orang,5253.6665,2111.0833
22235,Male,34.0,Sarawak,2 orang,5257.4165,4063.4167
22237,Male,64.0,Sarawak,3 orang,5258.25,3120.75
22243,Male,63.0,Sarawak,3 orang,5259.6665,2736.3333
22246,Male,52.0,Sarawak,3 orang,5260.6665,5260.6665
22249,Male,20.0,Sarawak,4 orang,5261.25,2247.8333
22253,Male,35.0,Sarawak,5 orang,5263.3335,5263.3335
22254,Male,42.0,Sarawak,2 orang,5263.4165,2296.5833
